category,year,month,mean_value,mean_cpi_yoy,series_count,year_month,mean_value_lag1,mean_value_lag12,mean_cpi_yoy_lag1,mean_cpi_yoy_roll3,mean_cpi_yoy_roll6,avg_mfn_rate,median_mfn_rate,codes_with_tariffs,avg_mfn_rate_missing,avg_mfn_rate_lag1,mean_value_missing,mean_cpi_yoy_missing
All Items,2022,1,411.3584626865672,,134,2022-01-01,,,,,,,,,1,,0,1
All Items,2022,2,419.3362877697842,,139,2022-02-01,411.3584626865672,,,,,,,,1,,0,1
All Items,2022,3,418.55755970149255,,134,2022-03-01,419.3362877697842,,,,,,,,1,,0,1
All Items,2022,4,396.23674193548385,,62,2022-04-01,418.55755970149255,,,,,,,,1,,0,1
All Items,2022,5,398.9750877192982,,57,2022-05-01,396.23674193548385,,,,,,,,1,,0,1
All Items,2022,6,406.64659677419354,,62,2022-06-01,398.9750877192982,,,,,,,,1,,0,1
All Items,2022,7,403.6945789473684,,57,2022-07-01,406.64659677419354,,,,,,,,1,,0,1
All Items,2022,8,406.07048387096773,,62,2022-08-01,403.6945789473684,,,,,,,,1,,0,1
All Items,2022,9,405.0737894736842,,57,2022-09-01,406.07048387096773,,,,,,,,1,,0,1
All Items,2022,10,408.628435483871,,62,2022-10-01,405.0737894736842,,,,,,,,1,,0,1
All Items,2022,11,405.4144035087719,,57,2022-11-01,408.628435483871,,,,,,,,1,,0,1
All Items,2022,12,406.7874838709678,,62,2022-12-01,405.4144035087719,,,,,,,,1,,0,1
All Items,2023,1,433.4588805970149,5.4070731707317075,134,2023-01-01,406.7874838709678,411.3584626865672,,,,,,,1,,0,0
All Items,2023,2,438.59994244604314,4.522926829268292,139,2023-02-01,433.4588805970149,419.3362877697842,5.4070731707317075,5.4070731707317075,5.4070731707317075,,,,1,,0,0
All Items,2023,3,436.9576641791045,4.218536585365854,134,2023-03-01,438.59994244604314,418.55755970149255,4.522926829268292,4.965,4.965,,,,1,,0,0
All Items,2023,4,415.88251612903224,3.618048780487805,62,2023-04-01,436.9576641791045,396.23674193548385,4.218536585365854,4.716178861788618,4.716178861788618,,,,1,,0,0
All Items,2023,5,414.24454385964907,2.522439024390244,57,2023-05-01,415.88251612903224,398.9750877192982,3.618048780487805,4.119837398373984,4.441646341463414,,,,1,,0,0
All Items,2023,6,418.60195161290324,2.8790243902439023,62,2023-06-01,414.24454385964907,406.64659677419354,2.522439024390244,3.453008130081301,4.05780487804878,,,,1,,0,0
All Items,2023,7,416.1736140350877,3.07390243902439,57,2023-07-01,418.60195161290324,403.6945789473684,2.8790243902439023,3.0065040650406503,3.861341463414634,,,,1,,0,0
All Items,2023,8,421.3564032258065,3.2770731707317076,62,2023-08-01,416.1736140350877,406.07048387096773,3.07390243902439,2.825121951219512,3.472479674796748,,,,1,,0,0
All Items,2023,9,419.63680701754384,3.169024390243903,57,2023-09-01,421.3564032258065,405.0737894736842,3.2770731707317076,3.0766666666666667,3.264837398373984,,,,1,,0,0
All Items,2023,10,421.8098387096774,3.284878048780488,62,2023-10-01,419.63680701754384,408.628435483871,3.169024390243903,3.1733333333333333,3.089918699186992,,,,1,,0,0
All Items,2023,11,419.1511052631579,5.086140350877193,57,2023-11-01,421.8098387096774,405.4144035087719,3.284878048780488,3.243658536585366,3.0343902439024393,,,,1,,0,0
All Items,2023,12,420.67595161290325,6.042258064516129,62,2023-12-01,419.1511052631579,406.7874838709678,5.086140350877193,3.8466809299671945,3.4616737983169306,,,,1,,0,0
All Items,2024,1,447.8865671641791,3.4996491228070172,134,2024-01-01,420.67595161290325,433.4588805970149,6.042258064516129,4.804425488057937,3.988879410695635,,,,1,,0,0
All Items,2024,2,451.70430935251795,3.4638709677419355,139,2024-02-01,447.8865671641791,438.59994244604314,3.4996491228070172,4.87601584606678,4.059837191326073,,,,1,,0,0
All Items,2024,3,451.3117985074627,3.768947368421053,134,2024-03-01,451.70430935251795,436.9576641791045,3.4638709677419355,4.335259385021694,4.090970157494444,,,,1,,0,0
All Items,2024,4,430.5574677419355,4.2343548387096765,62,2024-04-01,451.3117985074627,415.88251612903224,3.768947368421053,3.5774891529900024,4.19095732052397,,,,1,,0,0
All Items,2024,5,428.76170175438597,3.889298245614035,57,2024-05-01,430.5574677419355,414.24454385964907,4.2343548387096765,3.822391058290888,4.349203452178834,,,,1,,0,0
All Items,2024,6,431.930935483871,3.9493548387096777,62,2024-06-01,428.76170175438597,418.60195161290324,3.889298245614035,3.964200150914922,4.149729767968307,,,,1,,0,0
All Items,2024,7,429.91384210526314,3.676140350877193,57,2024-07-01,431.930935483871,416.1736140350877,3.9493548387096777,4.0243359743444636,3.8009125636672323,,,,1,,0,0
All Items,2024,8,433.1405322580645,3.914193548387097,62,2024-08-01,429.91384210526314,421.3564032258065,3.676140350877193,3.8382644784003017,3.830327768345595,,,,1,,0,0
All Items,2024,9,431.12985964912275,4.231228070175439,57,2024-09-01,433.1405322580645,419.63680701754384,3.914193548387097,3.846562912657989,3.9053815317864555,,,,1,,0,0
All Items,2024,10,433.63177419354844,4.800967741935485,62,2024-10-01,431.12985964912275,421.8098387096774,4.231228070175439,3.94052065647991,3.982428315412187,,,,1,,0,0
All Items,2024,11,430.9908947368421,3.7194736842105263,57,2024-11-01,433.63177419354844,419.1511052631579,4.800967741935485,4.315463120166007,4.076863799283155,,,,1,,0,0
All Items,2024,12,433.0293064516129,4.070967741935484,62,2024-12-01,430.9908947368421,420.67595161290325,3.7194736842105263,4.2505564987738165,4.048559705715903,,,,1,,0,0
All Items,2025,1,460.76612686567165,3.3485964912280703,134,2025-01-01,433.0293064516129,447.8865671641791,4.070967741935484,4.197136389360498,4.068828522920204,,,,1,,0,0
All Items,2025,2,463.97118705035973,2.9943548387096777,139,2025-02-01,460.76612686567165,451.70430935251795,3.3485964912280703,3.7130126391246936,4.01423787964535,,,,1,,0,0
All Items,2025,3,462.99412686567166,2.9933333333333336,134,2025-03-01,463.97118705035973,451.3117985074627,2.9943548387096777,3.4713063572910774,3.860931428032447,,,,1,,0,0
All Items,2025,4,440.4847419354839,2.8649999999999998,62,2025-04-01,462.99412686567166,430.5574677419355,2.9933333333333336,3.1120948877570274,3.654615638558763,,,,1,,0,0
All Items,2025,5,439.59035087719303,3.012280701754386,57,2025-05-01,440.4847419354839,428.76170175438597,2.8649999999999998,2.9508960573476704,3.331954348236182,,,,1,,0,0
All Items,2025,6,443.0490161290323,3.305,62,2025-06-01,439.59035087719303,431.930935483871,3.012280701754386,2.95687134502924,3.214088851160158,,,,1,,0,0
All Items,2025,7,441.2456140350877,3.2149122807017543,57,2025-07-01,443.0490161290323,429.91384210526314,3.305,3.060760233918129,3.0864275608375777,,,,1,,0,0
All Items,2025,8,444.5165,3.5870967741935487,62,2025-08-01,441.2456140350877,433.1405322580645,3.2149122807017543,3.177397660818713,3.0641468590831917,,,,1,,0,0
All Items,2025,9,443.86229824561406,3.981578947368421,57,2025-09-01,444.5165,431.12985964912275,3.5870967741935487,3.3690030182984345,3.162937181663837,,,,1,,0,0
All Items,2025,10,,,62,2025-10-01,443.86229824561406,433.63177419354844,3.981578947368421,3.5945293340879076,3.3276447840030183,,,,1,,1,1
All Items,2025,11,442.751701754386,3.2687719298245614,57,2025-11-01,,430.9908947368421,,3.7843378607809846,3.4201737408036217,,,,1,,0,0
All Items,2025,12,444.3669193548387,3.5582258064516132,62,2025-12-01,442.751701754386,433.0293064516129,3.2687719298245614,3.625175438596491,3.471471986417657,,,,1,,0,0
All Other Services Goods,2022,1,265.4361789473684,,95,2022-01-01,,,,,,,,,1,,0,1
All Other Services Goods,2022,2,270.11405263157894,,95,2022-02-01,265.4361789473684,,,,,,,,1,,0,1
All Other Services Goods,2022,3,269.2942150537634,,93,2022-03-01,270.11405263157894,,,,,,,,1,,0,1
All Other Services Goods,2022,4,275.4874107142857,,56,2022-04-01,269.2942150537634,,,,,,,,1,,0,1
All Other Services Goods,2022,5,276.466125,,56,2022-05-01,275.4874107142857,,,,,,,,1,,0,1
All Other Services Goods,2022,6,273.657125,,56,2022-06-01,276.466125,,,,,,,,1,,0,1
All Other Services Goods,2022,7,279.6755344827586,,58,2022-07-01,273.657125,,,,,,,,1,,0,1
All Other Services Goods,2022,8,281.2569482758621,,58,2022-08-01,279.6755344827586,,,,,,,,1,,0,1
All Other Services Goods,2022,9,282.3407413793104,,58,2022-09-01,281.2569482758621,,,,,,,,1,,0,1
All Other Services Goods,2022,10,283.6116896551724,,58,2022-10-01,282.3407413793104,,,,,,,,1,,0,1
All Other Services Goods,2022,11,285.9834482758621,,58,2022-11-01,283.6116896551724,,,,,,,,1,,0,1
All Other Services Goods,2022,12,285.87658620689655,,58,2022-12-01,285.9834482758621,,,,,,,,1,,0,1
All Other Services Goods,2023,1,282.8653578947368,6.0092727272727275,95,2023-01-01,285.87658620689655,265.4361789473684,,,,0.0,0.0,183.0,0,,0,0
All Other Services Goods,2023,2,285.91420212765956,6.174821428571429,94,2023-02-01,282.8653578947368,270.11405263157894,6.0092727272727275,6.0092727272727275,6.0092727272727275,0.0,0.0,183.0,0,,0,0
All Other Services Goods,2023,3,285.67343617021277,6.282105263157894,94,2023-03-01,285.91420212765956,269.2942150537634,6.174821428571429,6.092047077922079,6.092047077922079,0.0,0.0,183.0,0,,0,0
All Other Services Goods,2023,4,291.3341785714286,6.949107142857144,56,2023-04-01,285.67343617021277,275.4874107142857,6.282105263157894,6.155399806334017,6.155399806334017,0.0,0.0,183.0,0,,0,0
All Other Services Goods,2023,5,297.2063103448276,6.8884482758620695,58,2023-05-01,291.3341785714286,276.466125,6.949107142857144,6.468677944862155,6.353826640464798,0.0,0.0,183.0,0,,0,0
All Other Services Goods,2023,6,293.7707142857143,6.663392857142857,56,2023-06-01,297.2063103448276,273.657125,6.8884482758620695,6.706553560625703,6.460750967544253,0.0,0.0,183.0,0,,0,0
All Other Services Goods,2023,7,298.08027586206896,5.747241379310345,58,2023-07-01,293.7707142857143,279.6755344827586,6.663392857142857,6.833649425287358,6.494524615810687,0.0,0.0,183.0,0,,0,0
All Other Services Goods,2023,8,293.48357142857145,4.8878571428571425,56,2023-08-01,298.08027586206896,281.2569482758621,5.747241379310345,6.43302750410509,6.450852724483622,0.0,0.0,183.0,0,,0,0
All Other Services Goods,2023,9,300.0815892857143,5.445535714285714,56,2023-09-01,293.48357142857145,282.3407413793104,4.8878571428571425,5.766163793103448,6.236358676864575,0.0,0.0,183.0,0,,0,0
All Other Services Goods,2023,10,298.0061785714286,5.451964285714285,56,2023-10-01,300.0815892857143,283.6116896551724,5.445535714285714,5.360211412151067,6.096930418719212,0.0,0.0,183.0,0,,0,0
All Other Services Goods,2023,11,299.2443214285714,5.101607142857143,56,2023-11-01,298.0061785714286,285.9834482758621,5.451964285714285,5.261785714285714,5.847406609195403,0.0,0.0,183.0,0,,0,0
All Other Services Goods,2023,12,298.8801666666667,6.8190740740740745,54,2023-12-01,299.2443214285714,285.87658620689655,5.101607142857143,5.333035714285714,5.54959975369458,0.0,0.0,183.0,0,,0,0
All Other Services Goods,2024,1,295.26476086956524,4.715714285714285,92,2024-01-01,298.8801666666667,282.8653578947368,6.8190740740740745,5.790881834215167,5.575546623183118,0.0,0.0,183.0,0,0.0,0,0
All Other Services Goods,2024,2,298.18375,4.618214285714286,92,2024-02-01,295.26476086956524,285.91420212765956,4.715714285714285,5.5454651675485005,5.403625440917107,0.0,0.0,183.0,0,0.0,0,0
All Other Services Goods,2024,3,300.78762765957447,4.207931034482758,94,2024-03-01,298.18375,285.67343617021277,4.618214285714286,5.384334215167549,5.358684964726631,0.0,0.0,183.0,0,0.0,0,0
All Other Services Goods,2024,4,305.95980357142855,4.088928571428571,56,2024-04-01,300.78762765957447,291.3341785714286,4.207931034482758,4.513953201970444,5.152417518092805,0.0,0.0,183.0,0,0.0,0,0
All Other Services Goods,2024,5,307.3076607142857,3.8042857142857143,56,2024-05-01,305.95980357142855,297.2063103448276,4.088928571428571,4.305024630541872,4.925244899045186,0.0,0.0,183.0,0,0.0,0,0
All Other Services Goods,2024,6,307.9913571428571,3.783035714285714,56,2024-06-01,307.3076607142857,293.7707142857143,3.8042857142857143,4.033715106732348,4.709024660949948,0.0,0.0,183.0,0,0.0,0,0
All Other Services Goods,2024,7,308.59673214285715,4.080535714285714,56,2024-07-01,307.9913571428571,298.08027586206896,3.783035714285714,3.8920833333333333,4.203018267651888,0.0,0.0,183.0,0,0.0,0,0
All Other Services Goods,2024,8,309.4275357142857,3.8103571428571428,56,2024-08-01,308.59673214285715,293.48357142857145,4.080535714285714,3.8892857142857142,4.097155172413793,0.0,0.0,183.0,0,0.0,0,0
All Other Services Goods,2024,9,315.70993103448274,3.7803448275862066,58,2024-09-01,309.4275357142857,300.0815892857143,3.8103571428571428,3.891309523809524,3.9625123152709363,0.0,0.0,183.0,0,0.0,0,0
All Other Services Goods,2024,10,310.9609074074074,3.2988888888888885,54,2024-10-01,315.70993103448274,298.0061785714286,3.7803448275862066,3.8904125615763547,3.8912479474548434,0.0,0.0,183.0,0,0.0,0,0
All Other Services Goods,2024,11,313.39289285714284,3.5085714285714285,56,2024-11-01,310.9609074074074,299.2443214285714,3.2988888888888885,3.6298636197774123,3.7595746670315635,0.0,0.0,183.0,0,0.0,0,0
All Other Services Goods,2024,12,311.56746296296296,4.1561111111111115,54,2024-12-01,313.39289285714284,298.8801666666667,3.5085714285714285,3.5292683816821744,3.710288952745849,0.0,0.0,183.0,0,0.0,0,0
All Other Services Goods,2025,1,305.65653260869567,2.121785714285714,92,2025-01-01,311.56746296296296,295.26476086956524,4.1561111111111115,3.654523809523809,3.7724681855500823,,,,1,0.0,0,0
All Other Services Goods,2025,2,310.25198913043477,3.0303571428571425,92,2025-02-01,305.65653260869567,298.18375,2.121785714285714,3.2621560846560853,3.446009852216749,,,,1,0.0,0,0
All Other Services Goods,2025,3,311.53623913043475,3.810535714285714,92,2025-03-01,310.25198913043477,300.78762765957447,3.0303571428571425,3.1027513227513226,3.3160098522167485,,,,1,0.0,0,0
All Other Services Goods,2025,4,319.38475,3.429464285714286,56,2025-04-01,311.53623913043475,305.95980357142855,3.810535714285714,2.9875595238095234,3.3210416666666664,,,,1,0.0,0,0
All Other Services Goods,2025,5,319.38939285714287,3.009642857142857,56,2025-05-01,319.38475,307.3076607142857,3.429464285714286,3.4234523809523805,3.3428042328042324,,,,1,0.0,0,0
All Other Services Goods,2025,6,320.4682321428572,2.972857142857143,56,2025-06-01,319.38939285714287,307.9913571428571,3.009642857142857,3.4165476190476185,3.2596494708994705,,,,1,0.0,0,0
All Other Services Goods,2025,7,322.4955892857143,3.4644642857142856,56,2025-07-01,320.4682321428572,308.59673214285715,2.972857142857143,3.1373214285714286,3.062440476190476,,,,1,0.0,0,0
All Other Services Goods,2025,8,322.9430535714286,3.142857142857143,56,2025-08-01,322.4955892857143,309.4275357142857,3.4644642857142856,3.1489880952380953,3.286220238095238,,,,1,0.0,0,0
All Other Services Goods,2025,9,324.17935714285716,3.216964285714286,56,2025-09-01,322.9430535714286,315.70993103448274,3.142857142857143,3.1933928571428574,3.304970238095238,,,,1,0.0,0,0
All Other Services Goods,2025,10,,,58,2025-10-01,324.17935714285716,310.9609074074074,3.216964285714286,3.2747619047619048,3.206041666666667,,,,1,0.0,1,1
All Other Services Goods,2025,11,333.52122641509436,4.106981132075472,53,2025-11-01,,313.39289285714284,,3.1799107142857146,3.1613571428571428,,,,1,0.0,0,0
All Other Services Goods,2025,12,327.596875,4.65125,56,2025-12-01,333.52122641509436,311.56746296296296,4.106981132075472,3.661972708894879,3.3808247978436663,,,,1,0.0,0,0
Apparel,2022,1,123.79090789473685,,76,2022-01-01,,,,,,,,,1,,0,1
Apparel,2022,2,124.87705263157893,,76,2022-02-01,123.79090789473685,,,,,,,,1,,0,1
Apparel,2022,3,125.25111842105262,,76,2022-03-01,124.87705263157893,,,,,,,,1,,0,1
Apparel,2022,4,124.5883,,50,2022-04-01,125.25111842105262,,,,,,,,1,,0,1
Apparel,2022,5,124.96638000000002,,50,2022-05-01,124.5883,,,,,,,,1,,0,1
Apparel,2022,6,125.2967,,50,2022-06-01,124.96638000000002,,,,,,,,1,,0,1
Apparel,2022,7,124.5904,,50,2022-07-01,125.2967,,,,,,,,1,,0,1
Apparel,2022,8,125.61034,,50,2022-08-01,124.5904,,,,,,,,1,,0,1
Apparel,2022,9,126.90456,,50,2022-09-01,125.61034,,,,,,,,1,,0,1
Apparel,2022,10,126.18486000000001,,50,2022-10-01,126.90456,,,,,,,,1,,0,1
Apparel,2022,11,125.19912000000001,,50,2022-11-01,126.18486000000001,,,,,,,,1,,0,1
Apparel,2022,12,124.66708,,50,2022-12-01,125.19912000000001,,,,,,,,1,,0,1
Apparel,2023,1,127.53768421052631,1.3969999999999998,76,2023-01-01,124.66708,123.79090789473685,,,,0.0,0.0,1586.0,0,,0,0
Apparel,2023,2,128.5580657894737,2.82,76,2023-02-01,127.53768421052631,124.87705263157893,1.3969999999999998,1.3969999999999998,1.3969999999999998,0.0,0.0,1586.0,0,,0,0
Apparel,2023,3,129.15413157894736,3.9396,76,2023-03-01,128.5580657894737,125.25111842105262,2.82,2.1085,2.1085,0.0,0.0,1586.0,0,,0,0
Apparel,2023,4,129.27606,3.6296000000000004,50,2023-04-01,129.15413157894736,124.5883,3.9396,2.7188666666666665,2.7188666666666665,0.0,0.0,1586.0,0,,0,0
Apparel,2023,5,129.4501,3.6756,50,2023-05-01,129.27606,124.96638000000002,3.6296000000000004,3.4630666666666663,2.9465500000000002,0.0,0.0,1586.0,0,,0,0
Apparel,2023,6,129.13495999999998,3.6562,50,2023-06-01,129.4501,125.2967,3.6756,3.7482666666666673,3.09236,0.0,0.0,1586.0,0,,0,0
Apparel,2023,7,128.6887,2.4046000000000003,50,2023-07-01,129.13495999999998,124.5904,3.6562,3.6538000000000004,3.1863333333333337,0.0,0.0,1586.0,0,,0,0
Apparel,2023,8,129.635,2.1098,50,2023-08-01,128.6887,125.61034,2.4046000000000003,3.2454666666666667,3.354266666666667,0.0,0.0,1586.0,0,,0,0
Apparel,2023,9,129.65248,2.7398000000000002,50,2023-09-01,129.635,126.90456,2.1098,2.7235333333333336,3.2359000000000004,0.0,0.0,1586.0,0,,0,0
Apparel,2023,10,129.6497,3.8562,50,2023-10-01,129.65248,126.18486000000001,2.7398000000000002,2.418066666666667,3.035933333333334,0.0,0.0,1586.0,0,,0,0
Apparel,2023,11,126.90737999999999,2.1216,50,2023-11-01,129.6497,125.19912000000001,3.8562,2.9019333333333335,3.0737,0.0,0.0,1586.0,0,,0,0
Apparel,2023,12,125.93888000000001,-0.105,50,2023-12-01,126.90737999999999,124.66708,2.1216,2.905866666666667,2.8147,0.0,0.0,1586.0,0,,0,0
Apparel,2024,1,127.79365789473684,-1.5188,76,2024-01-01,125.93888000000001,127.53768421052631,-0.105,1.9575999999999996,2.1878333333333333,0.0,0.0,1580.0,0,0.0,0,0
Apparel,2024,2,128.84781578947369,-0.35719999999999996,76,2024-02-01,127.79365789473684,128.5580657894737,-1.5188,0.16593333333333335,1.5339333333333334,0.0,0.0,1580.0,0,0.0,0,0
Apparel,2024,3,129.69356578947367,0.8508,76,2024-03-01,128.84781578947369,129.15413157894736,-0.35719999999999996,-0.6603333333333333,1.1227666666666667,0.0,0.0,1580.0,0,0.0,0,0
Apparel,2024,4,130.45690000000002,1.0382,50,2024-04-01,129.69356578947367,129.27606,0.8508,-0.3417333333333333,0.8079333333333333,0.0,0.0,1580.0,0,0.0,0,0
Apparel,2024,5,129.82872,0.708,50,2024-05-01,130.45690000000002,129.4501,1.0382,0.5106,0.3382666666666667,0.0,0.0,1580.0,0,0.0,0,0
Apparel,2024,6,129.83808,1.0144,50,2024-06-01,129.82872,129.13495999999998,0.708,0.8656666666666667,0.10266666666666668,0.0,0.0,1580.0,0,0.0,0,0
Apparel,2024,7,128.5654,-0.9617999999999999,50,2024-07-01,129.83808,128.6887,1.0144,0.9202,0.28923333333333334,0.0,0.0,1580.0,0,0.0,0,0
Apparel,2024,8,129.12538,-1.0112,50,2024-08-01,128.5654,129.635,-0.9617999999999999,0.25353333333333333,0.3820666666666667,0.0,0.0,1580.0,0,0.0,0,0
Apparel,2024,9,131.70376,1.6674,50,2024-09-01,129.12538,129.65248,-1.0112,-0.31953333333333334,0.27306666666666674,0.0,0.0,1580.0,0,0.0,0,0
Apparel,2024,10,130.39594,2.156,50,2024-10-01,131.70376,129.6497,1.6674,-0.10186666666666662,0.4091666666666667,0.0,0.0,1580.0,0,0.0,0,0
Apparel,2024,11,128.86804,2.2194,50,2024-11-01,130.39594,126.90737999999999,2.156,0.9373999999999999,0.5954666666666667,0.0,0.0,1580.0,0,0.0,0,0
Apparel,2024,12,128.01986,-0.483,50,2024-12-01,128.86804,125.93888000000001,2.2194,2.0142666666666664,0.8473666666666667,0.0,0.0,1580.0,0,0.0,0,0
Apparel,2025,1,128.3561052631579,-0.935,76,2025-01-01,128.01986,127.79365789473684,-0.483,1.2974666666666665,0.5978000000000001,,,,1,0.0,0,0
